"age","months_as_customer","policy_annual_premium","policy_deductable","injury_claim","property_claim","vehicle_claim","number_of_vehicles_involved"
48,328,1406.91,1000,6510,13020,52080,1
42,228,1197.22,2000,780,780,3510,1
29,134,1413.14,2000,7700,3850,23100,3
41,256,1415.74,2000,6340,6340,50720,1
44,228,1583.91,1000,1300,650,4550,1
39,256,1351.1,1000,6410,6410,51280,3
34,137,1333.35,1000,21450,7150,50050,3
37,165,1137.03,1000,9380,9380,32830,3
33,27,1442.99,500,2770,2770,22160,1
42,212,1315.68,500,4700,4700,32900,1
42,235,1253.12,500,7910,15820,63280,1
61,447,1137.16,2000,17680,17680,79560,3
23,60,1215.36,500,4710,9420,42390,1
34,121,936.61,1000,1120,1120,5040,1
38,180,1301.13,2000,4200,8400,33600,1
58,473,1131.4,2000,10520,10520,42080,4
26,70,1199.44,1000,5790,5790,40530,3
31,140,708.64,500,14160,7080,56640,1
37,160,1374.22,500,6630,13260,53040,1
39,196,1475.73,2000,6040,6040,48320,3
62,460,1187.96,1000,0,5240,41920,3
41,217,875.15,2000,0,4730,33110,3
55,370,972.18,2000,17880,5960,47680,3
55,413,1268.79,2000,8180,16360,73620,1
40,237,883.31,1000,7080,14160,56640,1
35,8,1266.92,2000,16500,11000,44000,3
43,257,1322.1,2000,1640,820,6560,1
34,202,848.07,500,1040,520,4160,1
40,224,1291.7,2000,7760,15520,46560,1
45,241,1104.5,2000,14100,14100,63450,1
25,64,954.16,1000,12600,12600,50400,4
37,166,1337.28,2000,7460,7460,52220,3
35,155,1088.34,1000,3310,3310,23170,3
30,114,1558.29,1000,14020,14020,49070,3
37,149,1415.68,500,10800,5400,48600,1
33,147,1334.15,1000,10620,5310,37170,1
28,62,988.45,1000,6020,6020,48160,1
49,289,1222.48,2000,1230,820,3280,1
54,431,1155.55,2000,12460,6230,43610,3
37,199,1262.08,500,10940,10940,38290,1
26,79,1451.62,500,8000,4000,28000,1
34,116,1737.66,500,16180,16180,64720,1
23,37,1475.93,500,5740,5740,40180,3
30,106,538.17,500,5680,5680,39760,1
44,269,1081.08,2000,11280,11280,33840,1
40,265,1454.43,1000,6890,0,48230,3
33,163,1240.47,500,0,14020,63090,3
47,355,1273.7,2000,6280,6280,50240,3
34,175,1123.87,1000,810,810,5670,1
35,192,1245.89,1000,15320,7660,53620,1
59,430,1326.62,2000,16360,8180,57260,3
27,91,1073.83,2000,1320,660,5280,1
39,217,1530.52,1000,430,430,3440,1
40,223,1201.41,500,12820,12820,44870,3
39,195,1393.57,1000,480,480,1680,1
26,22,1276.57,1000,15780,7890,55230,1
56,439,1082.49,500,0,6270,50160,3
32,94,1414.74,1000,300,300,1800,1
39,11,1470.06,2000,7310,7310,51170,1
36,151,870.63,2000,11440,5720,45760,3
34,154,795.23,500,15440,0,54040,3
44,245,1168.2,1000,7380,3690,33210,3
32,119,993.51,1000,5630,11260,39410,1
42,215,1848.81,500,11420,5710,51390,3
42,295,1641.73,2000,6570,6570,45990,3
39,254,1362.87,500,13720,6860,61740,3
31,107,1239.22,500,13800,13800,62100,1
64,478,835.02,500,0,3770,30160,3
30,128,1061.33,1000,12460,6230,49840,1
49,338,1279.08,1000,860,860,2580,1
42,271,1105.49,500,12420,6210,49680,2
41,222,1055.53,2000,6810,6810,47670,1
41,199,895.83,1000,3010,0,27090,1
37,215,1632.93,500,9520,4760,42840,3
40,192,1405.99,1000,9540,4770,28620,3
35,120,1425.54,1000,11380,5690,34140,3
45,270,1038.09,1000,14900,7450,67050,3
47,319,1307.11,500,10860,10860,38010,3
39,194,1489.24,1000,1240,1240,5580,1
38,227,976.67,500,14440,7220,50540,1
31,137,1340.43,2000,10160,10160,30480,3
40,244,1267.81,2000,660,1320,4620,1
29,78,1234.2,1000,750,1500,5250,1
35,200,1318.06,2000,1180,1180,4130,1
48,284,769.95,2000,5540,11080,44320,2
41,275,1514.72,2000,5830,11660,40810,3
34,153,873.64,1000,11400,11400,45600,3
32,134,1612.43,500,11680,11680,40880,1
36,31,1318.24,2000,940,470,3290,1
25,41,1226.83,1000,0,5640,39480,3
29,127,1326.44,2000,10300,10300,46350,2
23,61,1136.83,2000,8940,17880,71520,1
42,207,1322.78,2000,590,590,4720,1
43,219,1483.25,1000,5890,11780,53010,3
42,271,1515.3,500,17040,8520,68160,3
25,80,1075.18,2000,1260,630,5040,1
47,325,1690.27,1000,6630,6630,59670,1
25,29,1352.83,2000,7210,7210,50470,4
48,295,1148.73,1000,900,900,3600,1
42,239,969.5,1000,700,700,4200,1
41,269,1463.82,500,15860,15860,47580,1
27,80,1474.17,1000,10560,5280,36960,1
41,279,1497.35,500,0,3600,25200,3
33,165,1427.14,1000,330,330,2310,1
54,350,1495.1,500,15580,7790,70110,3
49,295,1141.62,500,480,480,3360,1
61,464,1125.37,1000,6650,19950,53200,3
28,118,1207.36,2000,7420,14840,51940,2
47,298,1338.5,2000,10860,10860,48870,1
31,87,1074.07,1000,5540,11080,44320,3
42,261,1337.56,500,7470,14940,52290,1
60,453,1298.91,500,14000,7000,49000,1
41,210,1222.75,500,14740,14740,51590,3
32,168,1059.52,1000,14430,9620,33670,2
51,390,1124.38,2000,1180,1180,4720,1
46,258,1110.37,1000,4770,9540,33390,3
31,107,1374.22,2000,9320,9320,32620,1
41,225,1103.58,2000,6400,12800,51200,3
38,164,1269.76,2000,18000,9000,63000,1
39,245,964.79,500,13240,6620,52960,3
41,255,1167.3,2000,13860,13860,41580,1
36,206,1625.45,500,12760,12760,51040,1
38,203,1394.43,500,0,6160,49280,1
25,22,1053.24,2000,8570,17140,51420,4
35,211,1040.75,500,7000,7000,28000,1
39,206,1302.4,1000,3300,9900,23100,3
38,166,1588.55,2000,5760,5760,28800,1
32,165,1399.26,500,330,660,2970,1
43,274,1352.31,2000,10640,10640,42560,1
28,81,1139,1000,4970,4970,34790,3
45,280,1397.67,1000,14120,14120,56480,3
39,194,823.17,500,6150,12300,43050,3
27,112,965.13,500,8500,8500,34000,3
33,24,1922.84,1000,4680,9360,32760,1
32,93,1624.82,2000,17360,8680,52080,1
34,171,1277.25,2000,13840,6920,48440,1
40,200,1439.34,1000,410,410,2870,1
28,120,1281.27,1000,6550,6550,52400,3
46,325,1348.83,500,13840,6920,55360,3
32,124,1198.15,1000,12260,12260,49040,3
35,211,1221.22,2000,9460,4730,37840,1
41,287,968.74,2000,470,940,3760,1
34,122,1220.71,1000,1890,1260,5040,1
29,22,1238.62,2000,7080,14160,49560,1
31,106,1320.75,2000,5070,5070,35490,3
58,398,990.98,500,7640,15280,76400,1
41,214,1398.51,500,12800,6400,44800,3
38,209,1355.08,500,4730,4730,37840,1
27,82,1384.51,1000,8960,8960,53760,1
41,193,847.03,500,17280,17280,77760,1
32,134,1000.06,1000,7520,15040,60160,1
45,288,1046.71,1000,10680,5340,32040,3
32,104,1158.03,500,9780,9780,44010,3
54,431,1372.27,1000,10540,10540,42160,3
33,101,1053.04,1000,9040,9040,36160,3
50,375,1275.39,1000,0,0,37280,1
61,461,1402.75,2000,7210,14420,50470,3
59,428,1344.36,500,1300,650,4550,1
38,45,1197.71,1000,13040,13040,52160,3
29,136,1203.24,500,1240,620,4340,1
36,216,1152.4,1000,560,1680,3920,1
48,278,1142.62,2000,11700,11700,52650,1
48,295,1332.07,1000,13240,13240,59580,2
30,112,1166.54,1000,10790,21580,75530,1
34,122,1495.06,500,18180,18180,63630,3
29,108,1337.92,1000,11160,5580,44640,3
28,14,1587.96,2000,12960,12960,45360,1
45,298,1362.29,1000,12800,6400,44800,3
46,276,1448.84,500,660,660,4620,1
37,47,1241.97,2000,670,670,5360,1
42,222,1124.6,500,11940,7960,31840,3
28,119,1079.92,2000,6700,6700,40200,1
29,73,1447.78,1000,4990,4990,34930,3
31,8,1229.16,500,11100,7400,29600,3
44,294,1226.49,1000,610,1220,4270,1
46,324,897.89,2000,15920,15920,47760,1
34,155,1706.79,500,8560,8560,59920,1
45,261,1254.18,1000,11380,11380,39830,1
40,245,885.08,500,13100,13100,58950,1
39,235,1046.58,500,450,900,3600,1
36,53,1712.68,2000,10220,5110,35770,3
54,426,1097.71,2000,16800,16800,67200,1
27,111,1363.77,500,16540,16540,57890,1
26,86,1382.88,500,14880,7440,59520,1
46,296,1141.35,1000,5490,5490,43920,1
35,125,1054.83,500,8060,16120,64480,1
34,177,1057.77,2000,2250,2250,13500,3
39,238,1488.02,2000,1100,550,3850,1
25,81,920.3,500,13440,6720,53760,3
28,128,986.53,1000,18520,18520,64820,1
57,449,1440.68,2000,980,980,3430,1
39,252,1086.21,1000,5610,5610,39270,1
47,359,1367.68,2000,5550,11100,38850,1
32,19,1215.85,1000,1280,640,5120,1
26,73,1191.19,2000,5020,0,35140,3
44,285,1594.45,1000,6960,6960,41760,2
36,196,1463.07,2000,530,530,4240,1
43,223,1734.09,500,650,650,3900,1
48,328,1411.43,500,5940,11880,41580,1
43,285,1512.58,2000,280,280,1960,1
31,30,1153.35,2000,960,960,3840,1
49,342,1722.95,500,7670,7670,61360,1
39,219,1281.07,2000,740,740,4440,1
62,468,1011.92,500,7150,7150,50050,3
39,241,1042.26,2000,4240,2120,12720,3
43,223,1235.1,500,5440,5440,43520,1
32,128,768.91,2000,5980,5980,47840,1
29,124,1301.72,500,7200,7200,57600,3
48,343,1451.54,500,7230,14460,43380,4
53,404,767.14,500,1760,880,6160,1
24,63,1620.89,2000,1020,1020,4080,1
37,210,1048.46,2000,1180,590,5310,1
50,335,1538.26,1000,8580,4290,21450,3
40,11,1217.69,2000,9720,9720,34020,3
33,142,1362.64,2000,6780,13560,61020,1
43,272,1279.13,1000,7370,14740,58960,3
26,69,924.72,2000,5260,10520,47340,1
28,38,1019.44,1000,1440,720,5040,1
46,328,1314.6,500,12780,6390,51120,1
43,281,1515.18,1000,9260,9260,41670,3
44,246,1649.18,2000,11160,5580,44640,1
49,298,1451.01,500,2810,5620,19670,1
50,330,978.46,1000,8920,8920,31220,1
50,362,1198.34,500,6340,6340,44380,3
38,241,1003.23,2000,12980,12980,51920,3
41,245,1212,2000,7350,14700,51450,1
52,371,1242.96,1000,6840,13680,68400,2
52,343,1053.02,1000,12990,4330,30310,1
53,377,1693.63,500,6560,6560,45920,3
37,154,2047.59,1000,14460,7230,57840,1
34,166,1083.72,1000,4880,4880,43920,1
46,298,1138.42,1000,3050,6100,24400,1
42,235,1072.62,500,6910,6910,55280,4
35,172,1219.04,2000,14500,14500,50750,3
28,27,1371.78,2000,5360,10720,37520,3
54,428,1506.21,2000,12760,6380,57420,3
32,99,1058.21,1000,4570,4570,31990,1
26,107,932.14,2000,14300,7150,57200,3
41,272,1608.34,2000,6460,12920,51680,1
37,151,1728.56,1000,3530,3530,31770,1
43,249,1518.46,1000,5350,5350,42800,1
38,177,1540.19,2000,7370,7370,58960,1
40,190,965.21,2000,630,630,5040,1
36,174,1278.75,2000,10900,10900,43600,3
28,95,773.99,1000,640,320,2240,1
51,371,1532.47,1000,7540,15080,52780,1
28,2,1340.56,1000,6460,6460,45220,1
44,269,1297.75,500,15180,15180,68310,3
27,101,433.33,1000,1180,590,4130,1
30,94,1025.54,2000,6410,6410,51280,1
28,117,1264.77,500,5040,10080,40320,2
27,111,1459.97,500,7350,14700,58800,3
40,242,1238.65,500,680,680,6120,1
61,440,1050.76,500,5960,5960,41720,1
23,20,1711.72,1000,5750,11500,46000,3
57,461,865.33,500,9840,9840,39360,3
36,208,1153.49,500,10100,5050,35350,3
43,279,1281.25,2000,6410,12820,38460,1
40,244,1342.8,500,660,660,4620,1
30,134,1443.32,2000,5310,5310,37170,3
29,122,1629.94,1000,350,350,3150,1
31,156,1134.08,2000,5900,5900,47200,1
43,232,1483.91,500,7060,14120,49420,3
40,244,1304.67,2000,5590,11180,44720,3
30,84,1035.79,2000,5240,10480,41920,1
57,394,1401.2,500,1060,1060,4770,1
45,246,1665.45,1000,11840,5920,35520,3
29,35,653.66,2000,15660,7830,54810,3
37,156,1080.13,500,4610,4610,32270,3
36,195,1346.18,2000,12540,6270,50160,3
55,369,1589.54,2000,17060,8530,59710,3
40,271,1251.65,1000,560,280,2240,1
47,332,1083.01,2000,11040,11040,49680,4
26,107,974.59,500,11940,11940,35820,3
39,217,1399.85,2000,10820,10820,43280,3
43,243,1307.74,500,4170,4170,29190,3
42,296,1219.27,2000,7120,7120,49840,3
41,264,1411.3,500,10980,5490,43920,1
33,108,694.45,2000,5850,11700,46800,3
38,32,1006.77,500,14180,7090,49630,3
39,259,1422.36,1000,7760,7760,31040,3
33,186,1348.32,1000,860,860,3010,1
40,201,1315.56,2000,1240,1240,4340,1
58,436,1407.01,2000,11980,5990,41930,1
36,189,1388.58,2000,13260,13260,53040,3
33,105,1310.76,500,12780,6390,51120,1
31,163,1004.63,1000,5810,11620,46480,3
40,219,1134.91,500,640,640,5120,1
25,88,1194,1000,7420,7420,51940,1
